Time,X,Y,Psi,Roll,Rollrate,Delta,Velocity
128.59,28.6258014278003,-47.4214960890312,-0.147678408980293,-0.0295389411585928,-0.00146917807112433,0.0574830687951522,2.4
128.595,28.6377105165566,-47.4229704041253,-0.147678408980293,-0.0295463523809428,-0.00149537719535407,0.0574888626316511,2.4
128.6,28.64961960896,-47.4244446897578,-0.146493690564162,-0.029553895589197,-0.00152197437803542,0.0574946564681499,2.4
128.605,28.6615304447145,-47.4259048238712,-0.146493690564162,-0.0295615507839094,-0.00154013775092284,0.057505209057667,2.4
128.61,28.6734412870479,-47.427364904317,-0.145308733006027,-0.0295692973059147,-0.00155850663856573,0.0575157616471841,2.4
128.615,28.6853538590485,-47.4288108048425,-0.145308733006027,-0.0295771154981406,-0.00156877334255609,0.0575307889759466,2.4
128.62,28.6972664403264,-47.4302566289317,-0.144123339886704,-0.029584985068376,-0.00157905859440291,0.0575458163047092,2.4
128.625,28.7091807375802,-47.4316882437362,-0.144123339886704,-0.0295928865965103,-0.00158152532961097,0.0575650631985496,2.4
128.63,28.7210950465987,-47.4331197606272,-0.14293732650892,-0.0296008000478469,-0.00158382804339105,0.0575843100923901,2.4
128.635,28.7330110578833,-47.4345370379694,-0.14293732650892,-0.02960870625679,-0.00157859852427993,0.0576075223576972,2.4
128.64,28.7449270832144,-47.4359541972078,-0.141750518706677,-0.0296165854637923,-0.0015730268590705,0.0576307346230042,2.4
128.645,28.756844797066,-47.4373570858534,-0.141750518706677,-0.029624418774442,-0.00156021145896467,0.0576576592910855,2.4
128.65,28.768762527045,-47.4387598374864,-0.14056275280457,-0.0296321867210704,-0.00154688027485469,0.0576845839591667,2.4
128.655,28.7806819317476,-47.440148286814,-0.14056275280457,-0.0296398706836667,-0.00152659062282678,0.0577149722413374,2.4
128.66,28.7926013544649,-47.441536581481,-0.139373875567075,-0.0296474514892869,-0.00150561594952188,0.0577453605235081,2.4
128.665,28.8045224380419,-47.4429105415787,-0.139373875567075,-0.0296549108205599,-0.0014779749805348,0.0577789623114437,2.4
128.67,28.8164435413307,-47.4442843306357,-0.138183744025917,-0.0296622298279668,-0.00144948431825858,0.0578125640993794,2.4
128.675,28.828366291533,-47.4456437524292,-0.138183744025917,-0.0296693905107793,-0.00141462055444604,0.0578491312228574,2.4
